순위,영화명,개봉일,매출액 ,매출액점유율,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
11,사바하,2019.2.20,"20,007,508,194",2.5%,"20,007,508,194","2,398,519","2,398,519","1,174","78,094",한국,한국,"(주)외유내강,(주)필름케이",씨제이이앤엠(주),15세이상관람가,"미스터리,스릴러",장재현,"이정재,박정민,이재인,유지태,정진영,진선규,이다윗,배해선,차래형,황정민,김근영"
12,타짜: 원 아이드 잭,2019.9.11,"19,683,149,214",2.4%,"19,683,149,214","2,228,821","2,228,821","1,429","66,476",한국,한국,"(주)싸이더스,(주)엠씨엠씨,(주)비에이엔터테인먼트",롯데컬처웍스(주)롯데엔터테인먼트,청소년관람불가,"범죄,드라마",권오광,"박정민,류승범,최유화,우현,윤제문,이광수,임지연,권해효,이창훈,오동민,현봉식,장준휘,오혜원"
13,내안의 그놈,2019.1.9,"16,297,990,567",2.0%,"16,416,526,567","1,902,274","1,917,445","1,041","61,680",한국,한국,"(주)에코필름,(주)전망좋은 영화사","(주)메리크리스마스,TCO(주)더콘텐츠온",15세이상관람가,"판타지,코미디",강효진,"오윤수,박성웅,진영,라미란,이수민,이준혁,김광규,민지아,윤경호,김현목,권혁범,이호수,김상겸,조성희,박경혜,장진희,박지훈,정윤하,정원창"
14,뺑반,2019.1.30,"15,222,811,848",1.9%,"15,222,811,848","1,826,714","1,826,714","1,285","47,213",한국,한국,"호두앤유픽쳐스(주),(주)쇼박스",(주)쇼박스,15세이상관람가,"범죄,액션",한준희,"공효진,류준열,조정석,염정아,전혜진,손석구,김기범,이학주,정수지,배유람,이성욱,류경수,김고은,차래형,박형수,박예영,나철,이해운"
15,82년생 김지영,2019.10.23,"14,611,471,950",1.8%,"14,611,471,950","1,816,610","1,816,610","1,486","61,782",한국,한국,(주)봄바람영화사,롯데컬처웍스(주)롯데엔터테인먼트,12세이상관람가,드라마,김도영,"정유미,공유,김미경,공민정,박성연,이봉련,김성철,이얼,전국향,박세현,김미경,손성찬,강애심,김정영,예수정,염혜란,김해나"
16,변신,2019.8.21,"15,411,762,925",1.9%,"15,411,762,925","1,803,496","1,803,496",975,"63,205",한국,한국,(주)다나크리에이티브,(주)에이스메이커무비웍스,15세이상관람가,"공포(호러),스릴러",김홍선,"배성우,성동일,장영남,김혜준,조이현,김강훈,정윤하"
17,걸캅스,2019.5.9,"13,811,602,134",1.7%,"13,811,602,134","1,629,378","1,629,378",973,"63,160",한국,한국,필름모멘텀,씨제이이앤엠(주),15세이상관람가,"코미디,액션",정다원,"라미란,이성경,윤상현,최수영,염혜란,위하준,주우재,강홍석,김도완,이정민,신현숙,이레,조혜주,배유람,임현성,안재홍,한수현,조병규"
18,사자,2019.7.31,"12,931,566,145",1.6%,"12,931,566,145","1,611,163","1,611,163","1,405","47,683",한국,한국,(주)키이스트,롯데컬처웍스(주)롯데엔터테인먼트,15세이상관람가,"미스터리,액션,판타지,공포(호러)",김주환,"박서준,안성기,우도환,이승준,최우식,박진주,박지현,정지훈,이승희,심희섭,이찬유,김시은,김선민,정의순,김범수,박재홍,차시원,류경수,서정연,장세아,배현성,이설,이수인,이정현,김근영,최홍일,한혜지"
19,나의 특별한 형제,2019.5.1,"12,076,881,074",1.5%,"12,076,881,074","1,477,457","1,477,457",936,"49,919",한국,한국,"(주)명필름,(주)조이래빗",(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,"드라마,코미디",육상효,"신하균,이광수,이솜,박철민,권해효,길해연,양소민,배명진"
20,유열의 음악앨범,2019.8.28,"10,233,335,040",1.3%,"10,233,335,040","1,245,520","1,245,520","1,078","59,623",한국,한국,"(주)무비락,정지우 필름",CGV아트하우스,12세이상관람가,"멜로/로맨스,드라마",정지우,"김고은,정해인,박해준,김국희,정유진,최준영,심달기,나철,권은수,박세현"
21,퍼펙트맨,2019.10.2,"10,268,881,930",1.3%,"10,268,881,930","1,233,589","1,233,589",894,"49,770",한국,한국,"(주)맨필름,(주)쇼박스",(주)쇼박스,15세이상관람가,"코미디,드라마",용수,"설경구,조진웅,허준호,진선규,지승현,김사랑,최지안,윤진영"
22,생일,2019.4.3,"9,884,485,840",1.2%,"9,884,485,840","1,197,424","1,197,424",878,"71,793",한국,한국,"나우필름(주),(주)영화사레드피터,파인하우스필름(주)",(주)넥스트엔터테인먼트월드(NEW),전체관람가,드라마,이종언,"설경구,전도연,김보민,윤찬영,박종환,성유빈,탕준상,신문성,이봉련,김수진,안다정"
23,"힘을 내요, 미스터 리",2019.9.11,"9,913,809,406",1.2%,"9,913,809,406","1,179,749","1,179,749",990,"41,813",한국,한국,"(주)용필름,(주)덱스터스튜디오",(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,"코미디,드라마",이계벽,"차승원,엄채영,박해준,김혜옥,안길강,전혜빈,류한비,조한철,성지루,안민영,정준원"
24,항거:유관순 이야기,2019.2.27,"9,291,145,101",1.1%,"9,291,145,101","1,157,887","1,157,887","1,094","46,156",한국,한국,(주)디씨지플러스,롯데컬처웍스(주)롯데엔터테인먼트,12세이상관람가,드라마,조민호,"고아성,김새벽,김예은,정하담,류경수,최무성"
25,장사리 : 잊혀진 영웅들,2019.9.25,"8,944,986,550",1.1%,"8,944,986,550","1,131,103","1,131,103","1,090","47,671",한국,한국,(주)태원엔터테인먼트,워너브러더스 코리아(주),12세이상관람가,전쟁,"곽경택,김태훈","김명민,최민호,김성철,김인권,곽시양,메간 폭스,조지 이즈,장지건,이재욱,이호정,동방우"
26,롱 리브 더 킹: 목포 영웅,2019.6.19,"9,228,798,910",1.1%,"9,228,798,910","1,094,404","1,094,404",965,"38,839",한국,한국,"(주)영화사 필름몬스터,(주)비에이엔터테인먼트","메가박스중앙(주)플러스엠,(주)콘텐츠 난다긴다",15세이상관람가,"액션,드라마",강윤성,"김래원,원진아,진선규,최귀화,최무성,주진모,장지건,정원중,이성우,김홍표,민무제,김동현,홍기준,차엽"
27,나랏말싸미,2019.7.24,"7,869,977,823",1.0%,"7,869,977,823","958,608","958,608","1,211","39,202",한국,한국,(주)영화사두둥,메가박스중앙(주)플러스엠,전체관람가,사극,조철현,"송강호,박해일,전미선,최덕문,남문철,정해균,박동혁,정인겸,김준한,차래형,윤정일,탕준상,금새록,임성재,오현경,정수지,지웅배"
28,레드슈즈,2019.7.25,"6,099,866,190",0.7%,"6,099,866,190","817,088","817,088",717,"20,363",한국,한국,(주)싸이더스,(주)넥스트엔터테인먼트월드(NEW),전체관람가,"애니메이션,코미디,판타지,어드벤처,멜로/로맨스",홍성호,"클로이 모레츠,샘 클라플린,지나 거손,패트릭 워버튼,짐 래쉬,아바 콜커"
29,뽀로로 극장판 보물섬 대모험,2019.4.25,"5,886,304,900",0.7%,"5,886,304,900","766,764","766,764",797,"20,074",한국,한국,(주)오콘,(주)넥스트엔터테인먼트월드(NEW),전체관람가,"애니메이션,가족","김현호,윤창섭","이선,이미자,김현지,홍소영,정미숙,김서영,김환진,남도형,정승욱,이장원,황창영"
30,광대들: 풍문조작단,2019.8.21,"5,226,776,088",0.6%,"5,226,776,088","637,021","637,021",806,"29,045",한국,한국,(주)영화사심플렉스,워너브러더스 코리아(주),12세이상관람가,사극,김주호,"조진웅,손현주,박희순,고창석,최원영,김슬기,윤박,김민석,장남열,김희찬,최귀화,정인기,백수희,정윤하"
31,극장판 헬로카봇 : 달나라를 구해줘!,2019.9.4,"4,575,392,370",0.6%,"4,575,392,370","589,784","589,784",889,"20,781",한국,한국,(주)초이락컨텐츠팩토리,롯데컬처웍스(주)롯데엔터테인먼트,전체관람가,애니메이션,"최신규,김진철","이지현,김용준,양정화,조경이,사문영,엄상현,민아,김상백,김두용,시영준,이현"
32,극장판 헬로카봇: 옴파로스 섬의 비밀,2019.1.31,"4,485,953,140",0.6%,"4,485,953,140","575,362","575,362",752,"15,827",한국,한국,(주)초이락컨텐츠팩토리,(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,"최신규,김진철","이지현,김용준,양정화,사문영,홍범기,이현,시영준,엄상현,임정길,서윤선"
33,양자물리학,2019.9.25,"4,527,976,380",0.6%,"4,527,976,380","554,093","554,093",799,"25,289",한국,한국,(주)엠씨엠씨,(주)메리크리스마스,15세이상관람가,범죄,이성태,"박해수,서예지,김상호,김응수,변희봉,김영재,이창훈,임철수,현봉식,주석태,손종학,박성연,김동현"
34,PMC: 더 벙커,2018.12.26,"4,320,591,057",0.5%,"14,024,838,424","492,517","1,671,548",893,"23,116",한국,한국,(주)퍼펙트스톰필름,씨제이이앤엠(주),15세이상관람가,액션,김병우,"하정우,이선균,제니퍼 엘,이상원,민무제,강신철,손성찬"
35,극장판 공룡메카드: 타이니소어의 섬,2019.1.10,"3,140,220,420",0.4%,"3,141,498,420","410,132","410,274",763,"15,121",한국,한국,(주)초이락컨텐츠팩토리,(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,"최신규,유재운","김서영,엄상현,안현서,김장,홍범기,양정화,여민정,이장원,한신,서유리,정선혜,소정환,김은아,민승우,심규혁,정혜원,홍진욱"
36,러브 유어셀프 인 서울,2019.1.26,"3,209,682,900",0.4%,"3,209,682,900","342,366","342,366",224,"4,535",한국,한국,"빅히트 엔터테인먼트,씨제이 씨지브이(CJ CGV)(주)",씨제이 씨지브이(CJ CGV)(주),전체관람가,공연,,"김남준,김석진,민윤기,정호석,박지민,김태형,전정국"
37,브링 더 소울 : 더 무비,2019.8.7,"2,902,500,310",0.4%,"2,902,500,310","336,074","336,074",569,"10,199",한국,한국,"빅히트 엔터테인먼트,(주)캠프엔터테인먼트",월트디즈니컴퍼니코리아 유한책임회사,전체관람가,기타,박준수,"김남준,김석진,민윤기,정호석,박지민,김태형,전정국"
38,미성년,2019.4.11,"2,493,769,950",0.3%,"2,493,769,950","293,258","293,258",673,"27,310",한국,한국,"(주)영화사레드피터,(주)화이브라더스코리아",(주)쇼박스,15세이상관람가,드라마,김윤석,"염정아,김소진,김혜준,박세진,김윤석,김희원,이희준,염혜란,이정은,미람,김혜윤,정이랑"
39,배심원들,2019.5.15,"2,306,806,090",0.3%,"2,306,806,090","288,579","288,579",784,"20,269",한국,한국,반짝반짝영화사(주),CGV아트하우스,12세이상관람가,드라마,홍승완,"문소리,박형식,백수장,김미경,윤경호,서정연,조한철,김홍파,조수향,권해효,태인호,이해운,서진원,이영진,최영우,서현우,이용이,심달기,유순웅,김학선,고서희,정도원,염동헌,이서준,김선영,이규형"
40,기방도령,2019.7.10,"2,330,230,190",0.3%,"2,330,230,190","287,053","287,053",625,"16,652",한국,한국,"주식회사 브레인샤워,(주)제이와이피픽쳐스",판씨네마(주),15세이상관람가,"코미디,사극",남대중,"이준호,정소민,최귀화,예지원,공명,장세아,조이현,김동영,이일화"
41,기묘한 가족,2019.2.13,"2,121,514,275",0.3%,"2,121,514,275","263,598","263,598",625,"15,314",한국,한국,씨네주 유한회사,메가박스중앙(주)플러스엠,12세이상관람가,"코미디,가족",이민재,"정재영,김남길,엄지원,이수경,정가람,박인환,장세아,김지안,장지건,오안진,이성우,전배수"
42,악질경찰,2019.3.20,"2,256,615,278",0.3%,"2,256,615,278","262,233","262,233",833,"22,785",한국,한국,"청년필름(주),다이스필름(주)",워너브러더스 코리아(주),청소년관람불가,"범죄,드라마",이정범,"이선균,전소니,박해준,송영창,박병은,김민재,남문철,정가람,이유영,권오상,오희준,윤지온,임철수"
43,스윙키즈,2018.12.19,"1,786,104,690",0.2%,"12,094,670,292","214,314","1,473,125",587,"10,008",한국,한국,(주)안나푸르나필름,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,드라마,강형철,"도경수,박혜수,자레드 그라임스,오정세,김민호,강성호,고창희,김건우,김동현,김민재,김수민,김시원,김유리,김은주,김종원,김지수,김지현,김지혜,김태윤,김태형,김하늘,나경진,박상필,박준수,신지훈,안희진,이동현,이상훈,이승철,이승훈,이승훈,이재석,이정현,이태영,장지훈,전민정,전재형,최민우,송재룡,주해은,박진주,박형수,이규성,강길우"
44,어린 의뢰인,2019.5.22,"1,683,664,600",0.2%,"1,683,664,600","203,882","203,882",671,"17,414",한국,한국,이스트드림시노펙스(주),롯데컬처웍스(주)롯데엔터테인먼트,12세이상관람가,"드라마,가족",장규성,"이동휘,유선,최명빈,이주원,고수희,서정연,원현준,이나라,정준원,이현균,이지훈,이로운,이봄,정희태,양희원,장정연"
45,비스트,2019.6.26,"1,606,470,590",0.2%,"1,606,470,590","203,042","203,042",737,"12,404",한국,한국,(주)스튜디오앤뉴,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"범죄,스릴러",이정호,"이성민,유재명,전혜진,최다니엘,김영성,문순주"
46,"안녕, 티라노: 영원히, 함께",2019.8.14,"1,581,678,230",0.2%,"1,581,678,230","202,732","202,732",512,"7,412",한국,한국,(주)미디어캐슬,(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,시즈노 코분,"시영준,정혜원,이세은,이현,김지혜,박영진,김준현"
47,언니,2019.1.1,"1,746,373,250",0.2%,"1,757,528,250","197,134","198,377",530,"11,315",한국,한국,"필름에이픽쳐스,(유)조이앤시네마","(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온",청소년관람불가,액션,임경택,"이시영,박세완,이준혁,최진호"
48,언더독,2019.1.16,"1,488,702,830",0.2%,"1,491,832,830","193,932","194,314",612,"10,750",한국,한국,(주)오돌또기,(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,"오성윤,이춘백","도경수,박소담,박철민,강석,이준혁,연지원,전숙경,박중금"
49,우상,2019.3.20,"1,581,839,728",0.2%,"1,581,839,728","183,784","183,784",900,"18,545",한국,한국,"리 공동체 영화사,(주)바른손",CGV아트하우스,15세이상관람가,스릴러,이수진,"한석규,설경구,천우희,김재화,현봉식,안다정,문순주,조병규,강말금"
50,점박이 한반도의 공룡2 : 새로운 낙원,2018.12.25,"1,352,205,400",0.2%,"4,293,746,800","174,833","550,145",581,"6,089",한국,한국,(주)드림써치C&C,(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,한상호,"박희순,라미란,김성균,김경진,김재훈,김흥래,윤정화,이민규,이준호,이호준,최윤정,김응수"
51,두번할까요,2019.10.17,"1,432,238,620",0.2%,"1,432,238,620","172,748","172,748",658,"16,054",한국,한국,(주)영화사울림,(주)리틀빅픽쳐스,15세이상관람가,"코미디,멜로/로맨스",박용집,"권상우,이정현,이종혁,성동일,정상훈,김현숙,박경혜,구성환,김근영"
52,자전차왕 엄복동,2019.2.27,"1,304,861,670",0.2%,"1,304,861,670","172,212","172,212",624,"11,245",한국,한국,(주)셀트리온엔터테인먼트,(주)셀트리온엔터테인먼트,12세이상관람가,드라마,김유성,"정지훈,강소라,이범수,민효린,김희원,고창석,이시언,오민애,박진주,이정현"
53,진범,2019.7.10,"1,430,365,000",0.2%,"1,430,365,000","168,119","168,119",224,"8,819",한국,한국,"(주)곰픽쳐스,(주)트러스트스튜디오",(주)리틀빅픽쳐스,15세이상관람가,스릴러,고정욱,"송새벽,유선,장혁진,오민석"
54,0.0MHz,2019.5.29,"1,088,258,860",0.1%,"1,088,258,860","137,294","137,294",446,"5,998",한국,한국,(주)제이엠컬쳐스,(주)스마일이엔티,15세이상관람가,공포(호러),유선동,"정은지,이성열,최윤영,신주환,정원창,박명신"
55,벌새,2019.8.29,"1,089,139,065",0.1%,"1,092,631,565","133,424","133,909",145,"6,963",한국,한국,에피파니(주),"(주)엣나인필름,(주)콘텐츠판다",15세이상관람가,드라마,김보라,"박지후,김새벽,정인기,이승연,박수연,손용범,박서윤,길해연,손상연,설혜인"
56,교회오빠,2019.5.16,"866,947,710",0.1%,"866,947,710","109,001","109,001",200,"5,178",한국,한국,"KBS,커넥트픽쳐스(주)",커넥트픽쳐스(주),전체관람가,다큐멘터리,이호경,"이관희,오은주,이소연"
57,암전,2019.8.15,"921,274,215",0.1%,"921,274,215","104,395","104,395",423,"5,120",한국,한국,"주식회사 토닉프로젝트,아이뉴컴퍼니",TCO(주)더콘텐츠온,15세이상관람가,"미스터리,공포(호러)",김진원,"서예지,진선규,김보라,차엽"
58,크게 될 놈,2019.4.18,"781,972,420",0.1%,"781,972,420","102,374","102,374",447,"7,901",한국,한국,밀짚모자영화사(주),(주)영화사오원,15세이상관람가,드라마,강지은,"김해숙,손호준,남보라,박원상"
59,그대 이름은 장미,2019.1.16,"735,782,970",0.1%,"748,806,970","88,054","89,238",540,"7,704",한국,한국,(주)엠씨엠씨,(주)리틀빅픽쳐스,12세이상관람가,코미디,조석현,"유호정,박성웅,오정세,채수빈,하연수,이원근,최우식,이지민"
60,김복동,2019.8.8,"695,623,060",0.1%,"695,623,060","86,188","86,188",366,"5,683",한국,한국,한국탐사저널리즘센터,(주)엣나인필름,12세이상관람가,다큐멘터리,송원근,"김복동,한지민"
61,로망,2019.4.3,"589,714,900",0.1%,"589,714,900","79,789","79,789",405,"6,618",한국,한국,"(주)제이지픽쳐스,(주)메이스엔터테인먼트",(주)메리크리스마스,전체관람가,멜로/로맨스,이창근,"이순재,정영숙,조한철,배해선,이예원,진선규,박보경,이규형,임철수"
62,"어쩌다, 결혼",2019.2.27,"587,284,249",0.1%,"587,284,249","76,846","76,846",529,"6,850",한국,한국,(주)비에이엔터테인먼트,CGV아트하우스,12세이상관람가,"멜로/로맨스,코미디","박호찬,박수진","김동욱,고성희,황보라,김의성,임예진,염정아,한수현,이채은,김선영,차래형,김명준,손지현,이준혁,민무제,강신철"
63,극장판 반지의 비밀일기,2019.9.11,"539,843,170",0.1%,"539,843,170","67,319","67,319",459,"3,598",한국,한국,"(주)쏘울 크리에이티브,애니맥스 브로드캐스팅 코리아 유한회사","(주)영화사 빅,(주)버킷스튜디오",전체관람가,애니메이션,한승우,"방연지,김선혜,조경이,채민지,조진숙,홍범기"
64,1919 유관순,2019.3.14,"506,367,410",0.1%,"506,367,410","61,938","61,938",269,"3,249",한국,한국,유관순문화산업전문유한회사,"주식회사 마운틴픽쳐스,케이티하이텔(주)",12세이상관람가,다큐멘터리,신상민,"이새봄,양윤희,김나니,박자희,장세아,하희라,김홍표"
65,왓칭,2019.4.17,"463,512,262",0.1%,"463,512,262","55,366","55,366",488,"8,514",한국,한국,(주)스토리공감,(주)리틀빅픽쳐스,15세이상관람가,"공포(호러),스릴러",김성기,"강예원,이학주,주석태,임지현,조달환"
66,우리집,2019.8.22,"429,593,640",0.1%,"429,593,640","53,490","53,490",147,"4,559",한국,한국,(주)아토,롯데컬처웍스(주)롯데엔터테인먼트,전체관람가,"드라마,가족",윤가은,"김나연,김시아,주예림,안지호,손석배"
67,마약왕,2018.12.19,"437,722,390",0.1%,"16,222,446,942","50,482","1,864,076",426,"3,795",한국,한국,(주)하이브미디어코프,(주)쇼박스,청소년관람불가,"범죄,드라마",우민호,"송강호,조정석,배두나,김소진,김대명,이희준,조우진,이성민,김홍파,김근영,강민석,강민수,김남우,김동환,김명희,김시원,김연주,김우진,김윤수,김정호,김주연,김주영,김주영,김준한,김준형,김지은,김형태,김혜진,김혜진,류대식,문상호,박미희,박선영,송원종,유승희,윤세현,이병희,이선민,이수정,이수현,이승진,이승찬,이시현,이영태,이영호,이은주,이재우,이재우,이주원,이지혜,이창훈,이현정,이호철,정재원,최준혁,한동희,한송희,한지혜,이봉련,한창현,박경혜,안다정"
68,칠곡 가시나들,2019.2.27,"341,822,400",0.0%,"342,372,400","42,274","42,367",138,"3,314",한국,한국,주식회사 단유필름,"(주)인디플러그,(주)더 피플",전체관람가,다큐멘터리,김재환,"박금분,곽두조,강금연,안윤선,박월선,김두선,이원순,박복형,주석희"
69,메기,2019.9.26,"298,466,097",0.0%,"302,776,097","35,421","36,008",155,"2,978",한국,한국,"국가인권위원회,2X9HD","(주)엣나인필름,CGV아트하우스",15세이상관람가,"미스터리,코미디",이옥섭,"이주영,문소리,구교환,동방우,권해효,김꽃비,오희준,박경혜,박강섭,임수형,심달기,박종환,윤정재,던밀스,박길수"
70,썬키스 패밀리,2019.3.27,"245,549,900",0.0%,"245,549,900","31,742","31,742",417,"4,922",한국,한국,(주)영화사두둥,메가박스중앙(주)플러스엠,15세이상관람가,"가족,멜로/로맨스,코미디",김지혜,"박희순,진경,황우슬혜,장성범,윤보라,이고은,정상훈,강민"
71,캐리tv 러브콘서트 더 무비,2019.8.7,"230,599,700",0.0%,"230,599,700","29,277","29,277",155,"1,538",한국,한국,(주)캐리소프트,롯데컬처웍스(주)롯데엔터테인먼트,전체관람가,공연,"정귀호,이민환","이성인,소경호,현채민,스텔라"
72,"다시, 봄",2019.4.17,"233,916,700",0.0%,"233,916,700","29,048","29,048",360,"4,844",한국,한국,(주)26컴퍼니,(주)스마일이엔티,12세이상관람가,"드라마,판타지",정용주,"이청아,홍종현,박경혜,박지빈,오현중,김영재,박성준"
73,판소리 복서,2019.10.9,"201,368,680",0.0%,"201,368,680","26,599","26,599",345,"4,065",한국,한국,(주)바른손,CGV아트하우스,12세이상관람가,"코미디,드라마",정혁기,"엄태구,이혜리,김희원,최준영,이설,최덕문,임한빈,손석배,손영순,임성미"
74,BIFAN2019 판타스틱 단편 걸작선 1,,"150,000,000",0.0%,"150,000,000","25,000","25,000",5,125,한국,한국,,,,기타,,
75,노무현과 바보들,2019.4.18,"178,137,640",0.0%,"178,137,640","23,371","23,371",366,"4,116",한국,한국,(주)바보들,"오키넷,(주)라이크 콘텐츠",12세이상관람가,다큐멘터리,김재희,노무현
76,이타미 준의 바다,2019.8.15,"189,104,160",0.0%,"189,104,160","23,296","23,296",57,"1,497",한국,한국,기린그림,(주)영화사 진진,전체관람가,다큐멘터리,정다운,"쿠마 켄고,반 시게루,유이화,양방언"
77,물의 기억,2019.5.15,"114,776,080",0.0%,"114,776,080","20,010","20,010",108,"1,510",한국,한국,(주)KNN,롯데컬처웍스(주)롯데엔터테인먼트,전체관람가,"다큐멘터리,드라마",진재운,김명곤
78,김군,2019.5.23,"122,653,590",0.0%,"123,961,490","16,587","16,780",73,"1,437",한국,한국,"1011 필름,영화사 풀",영화사 풀,12세이상관람가,다큐멘터리,강상우,"김군,주옥,양동남,지만원,이창성,차종수,오기철,이강갑,최영철,최진수,안지환"
79,아픈 만큼 사랑한다,2019.4.3,"112,581,600",0.0%,"112,581,600","16,154","16,154",121,"1,517",한국,한국,"KBS 미디어,(주)드림팩트엔터테인먼트",(주)드림팩트엔터테인먼트,전체관람가,다큐멘터리,임준현,"박누가,추상미"
80,마왕의 딸 이리샤,2019.9.26,"113,205,980",0.0%,"113,613,980","15,894","15,956",314,"1,597",한국,한국,"한국영화아카데미,(주)지금이 아니면 안돼","(주)싸이더스,(주)삼백상회",전체관람가,애니메이션,장형윤,"천우희,심희섭,김일우,이영기,김준배"
81,극장판 샤이닝스타:새로운 루나퀸의 탄생!,2019.7.18,"129,098,700",0.0%,"129,098,700","15,785","15,785",117,"1,106",한국,한국,(주)마로스튜디오,(주)리틀빅픽쳐스,전체관람가,애니메이션,"박일호,정지훈","정혜원,이명호,박리나,이지현"
82,시민 노무현,2019.5.23,"116,930,250",0.0%,"116,930,250","14,500","14,500",174,"1,708",한국,한국,"엠앤씨에프,(주)영화사진",(주)삼백상회,12세이상관람가,다큐멘터리,백재호,"노무현,유시민,김경수,김영호,김정호,김준태,박성민,백승택,성경륭,유연미,이송평,정재성,조기숙,주형로,천호선"
83,별의 정원,2019.7.4,"96,394,300",0.0%,"96,394,300","14,152","14,152",210,"1,108",한국,한국,(주)아슈비아만화영화푸로덕션,예지림엔터테인먼트,전체관람가,"애니메이션,판타지",원종식,"김연우,신용우,전태열,배수빈,김새해"
84,버티고,2019.10.16,"119,081,840",0.0%,"119,081,840","14,004","14,004",298,"3,318",한국,한국,영화사 도로시(주),(주)트리플픽쳐스,15세이상관람가,"드라마,멜로/로맨스",전계수,"천우희,유태오,정재광"
