,영화코드,영화명,개봉일,점유율집계일,개봉n일차,개봉n일차(int),상영횟수,상영점유율,상영점유율순위,스크린수,스크린점유율,스크린점유율순위,좌석수,좌석판매율,좌석점유율,좌석점유율순위,매출액,누적매출액,관객수,누적관객수,총공급좌석수,F-rated
10,20149570,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-02-17,6 days 00:00:00.000000000,6,3812,52.645,1,746,37.9,1,793595,18.7,31.5,1,1120622200,9442050249,148087,1207336,5791947.0,1
11,20149570,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-02-18,7 days 00:00:00.000000000,7,4183,59.843,1,804,41.6,1,879892,33.7,33.0,1,2407918800,11849969049,296713,1504049,5791947.0,1
12,20149570,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-02-19,8 days 00:00:00.000000000,8,4184,56.979,1,825,38.8,1,880052,50.2,33.37,1,3644633700,15494602749,441844,1945893,5791947.0,1
13,20149570,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-02-20,9 days 00:00:00.000000000,9,4167,53.444,1,813,34.9,1,871153,57.1,32.02,1,3972232188,19466834937,497065,2442958,5791947.0,1
14,20149570,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-02-21,10 days 00:00:00.000000000,10,4136,52.782,1,817,35.1,1,859910,49.5,31.66,1,3383603091,22850438028,425279,2868237,5791947.0,1
15,20149570,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-02-22,11 days 00:00:00.000000000,11,3921,53.573,1,804,36.5,1,815260,34.8,31.31,1,2237192500,25087630528,283431,3151668,5791947.0,1
16,20149570,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-02-23,12 days 00:00:00.000000000,12,3477,56.592,1,706,41.1,1,713989,10.2,29.83,1,532721300,25620351828,72837,3224505,5791947.0,1
17,20149570,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-02-24,13 days 00:00:00.000000000,13,3441,56.225,1,720,40.5,1,704441,9.4,29.43,1,479962500,26100314328,66290,3290795,5791947.0,1
18,20149570,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-02-25,14 days 00:00:00.000000000,14,2883,56.774,1,666,40.2,1,582540,12.0,24.15,1,452136500,26552450828,70091,3360886,5791947.0,1
19,20149570,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-02-26,15 days 00:00:00.000000000,15,2128,62.996,1,472,40.8,1,411031,12.1,16.76,1,358879000,26911329828,49726,3410612,5791947.0,1
20,20149570,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-02-27,16 days 00:00:00.000000000,16,2192,64.528,1,479,42.4,1,423164,13.3,16.87,1,429177500,27340507328,56335,3466947,5791947.0,1
21,20149570,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-02-28,17 days 00:00:00.000000000,17,2228,65.742,1,502,43.0,1,426387,27.4,16.31,1,910341400,28250848728,116719,3583666,5791947.0,1
22,20149570,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-03-01,18 days 00:00:00.000000000,18,2132,65.479,1,503,43.4,1,407499,23.2,16.09,1,750487500,29001336228,94690,3678356,5791947.0,1
23,20149570,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-03-02,19 days 00:00:00.000000000,19,1908,62.272,1,447,41.6,1,350960,6.7,15.42,1,170882500,29172218728,23392,3701748,5791947.0,1
24,20149570,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-03-03,20 days 00:00:00.000000000,20,1902,63.043,1,444,42.1,1,352802,6.2,15.63,1,159864400,29332083128,21998,3723746,5791947.0,1
25,20149570,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-03-04,21 days 00:00:00.000000000,21,1865,61.714,1,432,40.4,1,343779,5.2,15.42,1,131698200,29463781328,17866,3741612,5791947.0,1
26,20149570,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-03-05,22 days 00:00:00.000000000,22,1097,18.332,3,356,23.5,3,160802,6.2,6.79,3,71966600,29535747928,9960,3751572,5791947.0,1
27,20149570,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-03-06,23 days 00:00:00.000000000,23,1149,18.583,3,362,23.5,3,167074,7.7,6.84,3,99762300,29635510228,12796,3764368,5791947.0,1
28,20149570,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-03-07,24 days 00:00:00.000000000,24,1150,17.938,3,397,24.0,3,164959,22.3,6.37,3,288680800,29924191028,36759,3801127,5791947.0,1
29,20149570,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-03-08,25 days 00:00:00.000000000,25,1091,17.762999999999995,3,389,23.9,3,157338,20.2,6.25,3,248475300,30172666328,31771,3832898,5791947.0,1
30,20149570,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-03-09,26 days 00:00:00.000000000,26,953,16.680999999999994,3,334,22.2,3,135587,5.4,5.97,3,53472400,30226138728,7289,3840187,5791947.0,1
31,20149570,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-03-10,27 days 00:00:00.000000000,27,960,16.83,3,332,21.5,3,136221,5.3,6.03,3,52439500,30278578228,7171,3847358,5791947.0,1
32,20149570,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-03-11,28 days 00:00:00.000000000,28,973,17.079,3,339,22.1,3,138012,5.8,6.05,3,56813100,30335391328,8062,3855420,5791947.0,1
33,20149570,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-03-12,29 days 00:00:00.000000000,29,211,3.386,5,141,8.1,5,27132,5.0,1.13,5,9510200,30344901528,1344,3856764,5791947.0,1
34,20149570,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-03-13,30 days 00:00:00.000000000,30,215,3.3560000000000003,5,134,7.7,5,27561,6.0,1.11,5,12244500,30357146028,1639,3858403,5791947.0,1
35,20149570,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-03-14,31 days 00:00:00.000000000,31,208,3.087,5,146,7.7,5,26982,17.3,1.02,5,35589800,30392735828,4675,3863078,5791947.0,1
36,20149570,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-03-15,32 days 00:00:00.000000000,32,194,3.04,5,140,7.6,5,24614,16.8,0.96,5,31876800,30424612628,4131,3867209,5791947.0,1
37,20149570,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-03-16,33 days 00:00:00.000000000,33,176,2.957,5,123,7.2,5,23610,6.2,1.01,5,9710400,30434323028,1465,3868674,5791947.0,1
38,20149570,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-03-17,34 days 00:00:00.000000000,34,166,2.7880000000000003,5,120,6.6,5,21606,4.5,0.93,5,6839400,30441162428,964,3869638,5791947.0,1
39,20149570,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-03-18,35 days 00:00:00.000000000,35,182,3.082,5,123,7.2,5,24171,5.1,1.03,5,8677000,30449839428,1222,3870860,5791947.0,1
40,20149570,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-03-19,36 days 00:00:00.000000000,36,9,0.243,8,6,0.5,8,1112,6.1,0.05,9,422000,30450261428,68,3870928,5791947.0,1
41,20149570,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-03-20,37 days 00:00:00.000000000,37,11,0.292,8,9,0.8,8,1621,7.4,0.07,8,710000,30450971428,120,3871048,5791947.0,1
42,20149570,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-03-21,38 days 00:00:00.000000000,38,9,0.241,8,6,0.5,8,946,23.0,0.04,8,1348000,30452319428,218,3871266,5791947.0,1
43,20149570,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-03-22,39 days 00:00:00.000000000,39,8,0.227,8,5,0.5,8,861,6.6,0.03,10,420000,30452739428,57,3871323,5791947.0,1
44,20149570,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-03-23,40 days 00:00:00.000000000,40,5,0.152,9,3,0.3,11,498,3.6,0.02,13,126000,30452865428,18,3871341,5791947.0,1
45,20149570,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-03-24,41 days 00:00:00.000000000,41,9,0.275,9,6,0.5,9,1043,13.8,0.05,10,674000,30453539428,144,3871485,5791947.0,1
46,20149570,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-03-25,42 days 00:00:00.000000000,42,4,0.07200000000000001,12,4,0.3,10,656,66.3,0.03,13,2770000,30456309428,435,3871920,5791947.0,1
47,20149570,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-03-27,44 days 00:00:00.000000000,44,1,0.017,17,1,0.1,14,94,101.1,0.0,29,570000,30456879428,95,3872015,5791947.0,1
48,20149570,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-05-09,87 days 00:00:00.000000000,87,1,0.018000000000000002,20,1,0.1,19,306,0.0,0.01,19,0,30456879428,0,3872015,5791947.0,1
49,20149570,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-05-10,88 days 00:00:00.000000000,88,1,0.019,18,1,0.1,17,389,0.0,0.02,15,0,30456879428,0,3872015,5791947.0,1
50,20148845,스물,2015-03-25,2015-03-04,-21 days +00:00:00.000000000,-21,1,0.033,19,1,0.1,18,183,100.0,0.01,14,1464000,1464000,183,183,6732118.0,0
51,20148845,스물,2015-03-25,2015-03-09,-16 days +00:00:00.000000000,-16,1,0.018000000000000002,22,1,0.1,15,326,100.0,0.01,15,1956000,3420000,326,509,6732118.0,0
52,20148845,스물,2015-03-25,2015-03-12,-13 days +00:00:00.000000000,-13,22,0.353,7,22,1.3,7,4238,100.0,0.18,7,34636000,38056000,4238,4747,6732118.0,0
53,20148845,스물,2015-03-25,2015-03-13,-12 days +00:00:00.000000000,-12,26,0.406,7,26,1.5,7,5353,98.9,0.22,6,44877000,82933000,5295,10042,6732118.0,0
54,20148845,스물,2015-03-25,2015-03-14,-11 days +00:00:00.000000000,-11,3,0.045,9,3,0.2,9,747,92.9,0.03,7,6246000,89179000,694,10736,6732118.0,0
55,20148845,스물,2015-03-25,2015-03-16,-9 days +00:00:00.000000000,-9,17,0.28600000000000003,7,17,1.0,7,3447,5.3,0.15,7,1464000,90643000,183,10919,6732118.0,0
56,20148845,스물,2015-03-25,2015-03-17,-8 days +00:00:00.000000000,-8,58,0.974,6,58,3.2,6,9245,2.8,0.4,6,2040000,92683000,255,11174,6732118.0,0
57,20148845,스물,2015-03-25,2015-03-18,-7 days +00:00:00.000000000,-7,12,0.203,7,12,0.7,7,3563,99.7,0.15,7,27958000,120641000,3551,14725,6732118.0,0
58,20148845,스물,2015-03-25,2015-03-20,-5 days +00:00:00.000000000,-5,3,0.08,11,3,0.3,10,622,100.0,0.03,9,5598000,126239000,622,15347,6732118.0,0
59,20148845,스물,2015-03-25,2015-03-23,-2 days +00:00:00.000000000,-2,5,0.152,9,5,0.5,8,1039,100.0,0.04,10,8312000,134551000,1039,16386,6732118.0,0
60,20148845,스물,2015-03-25,2015-03-24,-1 days +00:00:00.000000000,-1,19,0.58,8,19,1.7,8,4500,47.0,0.2,7,22258500,156809500,2115,18501,6732118.0,0
61,20148845,스물,2015-03-25,2015-03-25,0 days 00:00:00.000000000,0,4212,76.18,1,786,55.0,1,860168,17.6,36.27,1,981625100,1138434600,151161,169662,6732118.0,0
62,20148845,스물,2015-03-25,2015-03-26,1 days 00:00:00.000000000,1,4500,81.11,1,829,59.5,1,904696,12.6,38.39,1,860554400,1998989000,114294,283956,6732118.0,0
63,20148845,스물,2015-03-25,2015-03-27,2 days 00:00:00.000000000,2,4667,81.137,1,831,58.4,1,936813,17.1,38.56,1,1268802316,3267791316,160114,444070,6732118.0,0
64,20148845,스물,2015-03-25,2015-03-28,3 days 00:00:00.000000000,3,5165,83.28,1,926,62.8,1,1032402,34.7,40.04,1,2826752303,6094543619,358084,802154,6732118.0,0
65,20148845,스물,2015-03-25,2015-03-29,4 days 00:00:00.000000000,4,5011,83.212,1,910,62.0,1,1000689,33.5,39.89,1,2652125100,8746668719,334969,1137123,6732118.0,0
66,20148845,스물,2015-03-25,2015-03-30,5 days 00:00:00.000000000,5,4572,82.334,1,840,60.5,1,893897,12.0,38.71,1,809086100,9555754819,107313,1244436,6732118.0,0
67,20148845,스물,2015-03-25,2015-03-31,6 days 00:00:00.000000000,6,4614,81.333,1,857,58.3,1,900918,11.9,38.74,1,805211100,10360965919,107402,1351838,6732118.0,0
68,20148845,스물,2015-03-25,2015-04-01,7 days 00:00:00.000000000,7,3860,88.16799999999998,1,736,69.2,1,663750,18.7,29.24,1,922388300,11283354219,123777,1475615,6732118.0,0
69,20148845,스물,2015-03-25,2015-04-02,8 days 00:00:00.000000000,8,3740,84.635,1,729,66.6,1,644683,12.7,28.29,1,618857300,11902211519,81943,1557558,6732118.0,0
70,20148845,스물,2015-03-25,2015-04-03,9 days 00:00:00.000000000,9,3880,84.53200000000002,1,760,67.9,1,665396,19.4,28.23,1,1024870928,12927082447,128837,1686395,6732118.0,0
71,20148845,스물,2015-03-25,2015-04-04,10 days 00:00:00.000000000,10,4155,86.221,1,786,70.0,1,723877,38.3,29.15,1,2191462613,15118545060,277145,1963540,6732118.0,0
72,20148845,스물,2015-03-25,2015-04-05,11 days 00:00:00.000000000,11,4055,86.11200000000002,1,791,69.8,1,707859,33.7,29.34,1,1894169900,17012714960,238630,2202170,6732118.0,0
73,20148845,스물,2015-03-25,2015-04-06,12 days 00:00:00.000000000,12,3735,85.685,1,729,69.0,1,625005,10.4,27.99,1,489133300,17501848260,64877,2267047,6732118.0,0
74,20148845,스물,2015-03-25,2015-04-07,13 days 00:00:00.000000000,13,3710,85.681,1,731,68.7,1,621533,9.0,28.05,1,417011000,17918859260,55648,2322695,6732118.0,0
75,20148845,스물,2015-03-25,2015-04-08,14 days 00:00:00.000000000,14,3570,88.52,1,708,72.7,1,597821,8.6,27.1,1,384916700,18303775960,51091,2373786,6732118.0,0
76,20148845,스물,2015-03-25,2015-04-09,15 days 00:00:00.000000000,15,2895,38.89,2,661,38.9,1,465512,10.2,19.85,2,353321100,18657097060,47346,2421132,6732118.0,0
77,20148845,스물,2015-03-25,2015-04-10,16 days 00:00:00.000000000,16,2876,37.942,2,658,38.8,1,455435,14.3,19.06,2,511320200,19168417260,64981,2486113,6732118.0,0
78,20148845,스물,2015-03-25,2015-04-11,17 days 00:00:00.000000000,17,3034,38.02,2,651,37.6,2,488076,25.9,19.32,2,1006056600,20174473860,126580,2612693,6732118.0,0
79,20148845,스물,2015-03-25,2015-04-12,18 days 00:00:00.000000000,18,2914,38.092,2,637,37.8,2,465688,21.9,19.04,2,820866500,20995340360,102143,2714836,6732118.0,0
80,20148845,스물,2015-03-25,2015-04-13,19 days 00:00:00.000000000,19,2545,36.682,2,551,35.5,2,393148,7.4,17.66,2,221973500,21217313860,29077,2743913,6732118.0,0
81,20148845,스물,2015-03-25,2015-04-14,20 days 00:00:00.000000000,20,2511,36.104,2,547,34.4,2,388433,6.9,17.38,2,201782700,21419096560,26604,2770517,6732118.0,0
82,20148845,스물,2015-03-25,2015-04-15,21 days 00:00:00.000000000,21,2435,35.851,2,541,34.1,2,377297,6.5,17.03,2,185364700,21604461260,24467,2794984,6732118.0,0
83,20148845,스물,2015-03-25,2015-04-16,22 days 00:00:00.000000000,22,2164,36.236,2,479,31.5,2,325645,6.8,14.5,2,166616800,21771078060,22089,2817073,6732118.0,0
84,20148845,스물,2015-03-25,2015-04-17,23 days 00:00:00.000000000,23,2287,37.018,2,497,31.9,2,341166,9.3,14.74,2,250173266,22021251326,31770,2848843,6732118.0,0
85,20148845,스물,2015-03-25,2015-04-18,24 days 00:00:00.000000000,24,2445,37.598,2,520,32.9,2,373605,16.2,15.18,2,491011360,22512262686,60636,2909479,6732118.0,0
86,20148845,스물,2015-03-25,2015-04-19,25 days 00:00:00.000000000,25,2362,37.522,2,517,32.9,2,361370,15.2,15.1,2,451945400,22964208086,55018,2964497,6732118.0,0
87,20148845,스물,2015-03-25,2015-04-20,26 days 00:00:00.000000000,26,2080,36.017,2,478,31.8,2,309317,5.5,14.04,2,127535200,23091743286,16946,2981443,6732118.0,0
88,20148845,스물,2015-03-25,2015-04-21,27 days 00:00:00.000000000,27,1991,35.624,2,484,32.2,2,294386,5.0,13.68,2,110178300,23201921586,14731,2996174,6732118.0,0
89,20148845,스물,2015-03-25,2015-04-22,28 days 00:00:00.000000000,28,1984,35.639,2,476,31.9,2,294768,5.1,13.74,2,113853100,23315774686,15078,3011252,6732118.0,0
90,20148845,스물,2015-03-25,2015-04-23,29 days 00:00:00.000000000,29,317,14.675999999999998,3,175,18.8,3,36853,8.8,1.66,3,24195600,23339970286,3245,3014497,6732118.0,0
91,20148845,스물,2015-03-25,2015-04-24,30 days 00:00:00.000000000,30,310,14.136,3,177,19.4,3,36660,15.1,1.6,3,42464700,23382434986,5543,3020040,6732118.0,0
92,20148845,스물,2015-03-25,2015-04-25,31 days 00:00:00.000000000,31,235,12.355,3,144,16.3,3,27748,22.4,1.16,3,48892900,23431327886,6211,3026251,6732118.0,0
93,20148845,스물,2015-03-25,2015-04-26,32 days 00:00:00.000000000,32,223,12.133,3,148,17.4,3,26296,19.8,1.13,3,41256300,23472584186,5215,3031466,6732118.0,0
94,20148845,스물,2015-03-25,2015-04-27,33 days 00:00:00.000000000,33,287,13.602,3,166,18.4,3,33350,7.3,1.53,3,17949000,23490533186,2440,3033906,6732118.0,0
95,20148845,스물,2015-03-25,2015-04-28,34 days 00:00:00.000000000,34,295,13.47,3,168,17.6,3,34785,9.7,1.59,3,24316000,23514849186,3357,3037263,6732118.0,0
96,20148845,스물,2015-03-25,2015-04-29,35 days 00:00:00.000000000,35,88,2.221,5,63,4.5,5,10329,14.0,0.46,5,9756700,23524605886,1445,3038708,6732118.0,0
97,20148845,스물,2015-03-25,2015-04-30,36 days 00:00:00.000000000,36,19,0.425,6,16,1.2,6,2264,31.9,0.1,6,3778500,23528384386,723,3039431,6732118.0,0
98,20148845,스물,2015-03-25,2015-05-01,37 days 00:00:00.000000000,37,15,0.335,7,13,0.9,7,1507,33.6,0.06,7,3693500,23532077886,507,3039938,6732118.0,0
99,20148845,스물,2015-03-25,2015-05-02,38 days 00:00:00.000000000,38,18,0.399,6,13,0.9,6,1701,36.6,0.07,7,4369800,23536447686,622,3040560,6732118.0,0
100,20148845,스물,2015-03-25,2015-05-03,39 days 00:00:00.000000000,39,16,0.358,7,12,0.8,6,1625,30.0,0.07,6,3631000,23540078686,487,3041047,6732118.0,0
101,20148845,스물,2015-03-25,2015-05-04,40 days 00:00:00.000000000,40,21,0.458,6,18,1.2,6,2415,31.0,0.1,6,4406500,23544485186,749,3041796,6732118.0,0
102,20148845,스물,2015-03-25,2015-05-05,41 days 00:00:00.000000000,41,15,0.341,7,11,0.7,7,1736,25.5,0.07,7,3207000,23547692186,442,3042238,6732118.0,0
103,20148845,스물,2015-03-25,2015-05-06,42 days 00:00:00.000000000,42,23,0.499,7,20,1.4,6,3096,8.4,0.14,6,1413000,23549105186,261,3042499,6732118.0,0
104,20148845,스물,2015-03-25,2015-05-07,43 days 00:00:00.000000000,43,14,0.274,10,12,0.7,10,1955,7.1,0.09,9,788000,23549893186,138,3042637,6732118.0,0
105,20148845,스물,2015-03-25,2015-05-08,44 days 00:00:00.000000000,44,14,0.264,8,13,0.8,8,1977,4.8,0.08,8,597000,23550490186,94,3042731,6732118.0,0
106,20148845,스물,2015-03-25,2015-05-09,45 days 00:00:00.000000000,45,13,0.235,9,11,0.6,8,1817,7.1,0.07,8,803500,23551293686,129,3042860,6732118.0,0
107,20148845,스물,2015-03-25,2015-05-10,46 days 00:00:00.000000000,46,13,0.241,8,12,0.7,8,2191,5.6,0.09,8,737000,23552030686,122,3042982,6732118.0,0
108,20148845,스물,2015-03-25,2015-05-11,47 days 00:00:00.000000000,47,12,0.231,9,11,0.7,7,1856,3.6,0.08,10,403000,23552433686,67,3043049,6732118.0,0
109,20148845,스물,2015-03-25,2015-05-12,48 days 00:00:00.000000000,48,15,0.28600000000000003,9,13,0.8,9,2376,9.8,0.11,9,1210000,23553643686,233,3043282,6732118.0,0
110,20148845,스물,2015-03-25,2015-05-13,49 days 00:00:00.000000000,49,12,0.226,10,10,0.6,10,1666,4.0,0.08,10,393000,23554036686,67,3043349,6732118.0,0
111,20148845,스물,2015-03-25,2015-05-14,50 days 00:00:00.000000000,50,6,0.1,10,6,0.4,10,690,7.4,0.03,11,277000,23554313686,51,3043400,6732118.0,0
112,20148845,스물,2015-03-25,2015-05-15,51 days 00:00:00.000000000,51,6,0.096,10,6,0.4,9,690,9.0,0.03,9,342000,23554655686,62,3043462,6732118.0,0
113,20148845,스물,2015-03-25,2015-05-16,52 days 00:00:00.000000000,52,6,0.08800000000000001,10,6,0.3,10,690,8.8,0.03,10,343000,23554998686,61,3043523,6732118.0,0
114,20148845,스물,2015-03-25,2015-05-17,53 days 00:00:00.000000000,53,6,0.091,10,6,0.4,9,690,7.4,0.03,8,273000,23555271686,51,3043574,6732118.0,0
115,20148845,스물,2015-03-25,2015-05-18,54 days 00:00:00.000000000,54,5,0.081,12,5,0.3,10,666,6.8,0.03,11,231000,23555502686,45,3043619,6732118.0,0
116,20148845,스물,2015-03-25,2015-05-19,55 days 00:00:00.000000000,55,6,0.098,8,6,0.4,8,690,6.8,0.03,10,245000,23555747686,47,3043666,6732118.0,0
117,20148845,스물,2015-03-25,2015-05-20,56 days 00:00:00.000000000,56,3,0.049,14,3,0.2,11,228,8.3,0.01,16,98000,23555845686,19,3043685,6732118.0,0
118,20148845,스물,2015-03-25,2015-05-26,62 days 00:00:00.000000000,62,1,0.017,21,1,0.1,18,232,100.0,0.01,19,1624000,23557469686,232,3043917,6732118.0,0
119,20148845,스물,2015-03-25,2015-06-05,72 days 00:00:00.000000000,72,1,0.023,13,1,0.1,12,217,100.0,0.01,11,1519000,23558988686,217,3044134,6732118.0,0
120,20148845,스물,2015-03-25,2015-11-15,235 days 00:00:00.000000000,235,1,0.014,21,1,0.1,17,85,0.0,0.0,33,0,23558988686,0,3044134,6732118.0,0
121,20148845,스물,2015-03-25,2015-11-19,239 days 00:00:00.000000000,239,1,0.012,24,1,0.1,22,85,0.0,0.0,27,0,23558988686,0,3044134,6732118.0,0
122,20148845,스물,2015-03-25,2015-11-26,246 days 00:00:00.000000000,246,2,0.018000000000000002,23,2,0.1,21,221,100.0,0.01,24,1450000,23560438686,221,3044355,6732118.0,0
123,20148845,스물,2015-03-25,2015-12-01,251 days 00:00:00.000000000,251,1,0.009000000000000001,28,1,0.0,24,98,11.2,0.0,38,65000,23560503686,11,3044366,6732118.0,0
124,20148845,스물,2015-03-25,2015-12-02,252 days 00:00:00.000000000,252,1,0.009000000000000001,33,1,0.0,26,98,3.1,0.0,44,18000,23560521686,3,3044369,6732118.0,0
125,20148845,스물,2015-03-25,2015-12-04,254 days 00:00:00.000000000,254,2,0.021,23,2,0.1,18,221,100.0,0.01,21,1450000,23561971686,221,3044590,6732118.0,0
126,20148845,스물,2015-03-25,2015-12-16,266 days 00:00:00.000000000,266,2,0.016,18,2,0.1,17,221,100.0,0.01,20,1450000,23563421686,221,3044811,6732118.0,0
127,20148845,스물,2015-03-25,2016-03-28,369 days 00:00:00.000000000,369,1,0.035,19,1,0.1,14,44,4.6,0.0,29,12000,23563433686,2,3044813,6732118.0,0
128,20148845,스물,2015-03-25,2016-03-30,371 days 00:00:00.000000000,371,1,0.027000000000000003,17,1,0.1,15,110,8.2,0.0,27,45000,23563478686,9,3044822,6732118.0,0
129,20148845,스물,2015-03-25,2016-03-31,372 days 00:00:00.000000000,372,2,0.053,15,2,0.1,15,140,7.1,0.01,14,65000,23563543686,10,3044832,6732118.0,0
130,20148845,스물,2015-03-25,2016-04-01,373 days 00:00:00.000000000,373,2,0.054000000000000006,12,2,0.1,12,206,13.1,0.01,15,162000,23563705686,27,3044859,6732118.0,0
131,20161364,귀향,2016-02-24,2016-01-11,-44 days +00:00:00.000000000,-44,1,0.013,20,1,0.0,17,172,72.1,0.01,19,1116000,1116000,124,124,6556344.0,1
132,20161364,귀향,2016-02-24,2016-01-13,-42 days +00:00:00.000000000,-42,1,0.013,23,1,0.0,20,282,100.0,0.01,17,2538000,3654000,282,406,6556344.0,1
133,20161364,귀향,2016-02-24,2016-02-04,-20 days +00:00:00.000000000,-20,2,0.021,18,2,0.1,17,524,100.0,0.02,17,4192000,7846000,524,930,6556344.0,1
134,20161364,귀향,2016-02-24,2016-02-15,-9 days +00:00:00.000000000,-9,21,0.218,9,21,0.8,9,5590,99.4,0.22,9,43330000,51176000,5556,6486,6556344.0,1
135,20161364,귀향,2016-02-24,2016-02-16,-8 days +00:00:00.000000000,-8,13,0.159,11,13,0.5,10,2816,98.8,0.11,10,21439000,72615000,2782,9268,6556344.0,1
136,20161364,귀향,2016-02-24,2016-02-17,-7 days +00:00:00.000000000,-7,1,0.014,21,1,0.1,17,149,100.0,0.01,18,1043000,73658000,149,9417,6556344.0,1
137,20161364,귀향,2016-02-24,2016-02-18,-6 days +00:00:00.000000000,-6,1,0.014,24,1,0.1,20,149,100.0,0.01,17,1043000,74701000,149,9566,6556344.0,1
138,20161364,귀향,2016-02-24,2016-02-20,-4 days +00:00:00.000000000,-4,5,0.07,9,4,0.2,9,1167,100.0,0.04,7,7002000,81703000,1167,10733,6556344.0,1
