광역단체,기초단체,영화상영관코드,영화상영관명,총 스크린수,총 좌석수,필름 상영관수,2D 상영관수,3D 상영관수,4D 상영관수,IMAX 상영관수,상설여부,특별관운영여부,가입여부,전송사업자명,개관일,영업상태,운영형태,주소,전화번호,홈페이지
경기도,부천시,002252,메가박스 부천스타필드시티,5,829,0,0,0,0,0,상설,,가입,메가박스(주),2019-09-03,영업,직영,경기도 부천시 소사구 옥길동 768 번지,02-1544-0070,http://www.megabox.co.kr/
서울시,성북구,001271,CGV 성신여대입구,3,554,0,3,0,0,0,상설,,가입,CJ올리브네트웍스(주),2008-09-11,영업,직영,서울특별시 성북구 동선동1가 1-2 번지 유타몰 10층,,
서울시,성북구,001150,CGV 성신여대입구,5,906,0,5,4,0,0,상설,,가입,CJ올리브네트웍스(주),2008-09-11,영업,위탁,"서울특별시 성북구 동선동1가 1-2 번지 (동선동, 10~12층)",1544-1122,http://www.cgv.co.kr/
경기도,용인시,002251,롯데시네마 수지,8,"1,331",0,0,0,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2019-08-29,영업,직영,경기도 용인시 수지구 성복동 61-7 번지 롯데몰 수지 5층 롯데시네마,,
대전시,서구,013034,CGV 대전가수원,5,"1,016",0,5,0,0,0,상설,,가입,CJ올리브네트웍스(주),2019-08-30,영업,위탁,대전광역시 서구 가수원동 1042 번지,042-545-0038,
경상북도,예천군,006083,메가박스 경북도청,6,471,0,0,0,0,0,상설,,가입,메가박스(주),2019-08-23,영업,위탁,경상북도 예천군 호명면 산합리 1430 번지 6층 601,02-1544-0070,http://www.megabox.co.kr/
강원도,횡성군,003211,횡성시네마,2,136,0,2,1,0,0,상설,,가입,(주)디트릭스,2018-02-14,영업,직영,,033-343-1088,cinema.hscf.or.kr
경기도,이천시,002061,CGV 이천,10,"1,143",0,9,3,0,0,상설,,가입,CJ올리브네트웍스(주),2015-01-05,영업,위탁,경기도 이천시 중리동 201-1 번지,1544-1122,
경기도,안산시,002087,메가박스 안산중앙,6,631,0,6,0,0,0,상설,,가입,메가박스(주),2010-06-08,영업,위탁,"경기도 안산시 단원구 고잔동 535-1 번지 9층, 10층",1544-1122,http://www.meganex6.co.kr/
울산시,울주군,014015,알프스시네마,2,307,0,1,1,0,0,상설,,가입,문화인,2015-10-08,영업,위탁,울산광역시 울주군 상북면 등억리 515-2 번지,052-229-8951,comulju.oneh.co.kr
인천시,중구,015062,롯데시네마 영종하늘도시,3,270,0,3,0,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2019-07-24,영업,위탁,인천광역시 중구 중산동 1883-12 번지 3층 롯데시네마 영종하늘도시,,www.lottecinema.co.kr
충청북도,충주시,004040,씨네큐 충주연수,8,"1,191",0,8,2,0,0,상설,,가입,(주)넥스트엔터테인먼트월드,2018-06-15,영업,위탁,"충청북도 충주시 연수동 1325 번지, 3층",070-5221-1354,
경기도,수원시,002249,롯데시네마서수원,6,791,0,0,0,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2019-07-16,영업,직영,경기도 수원시 권선구 금곡동 1114-1 번지 리더스빌딩 10층,02-1544-8855,
부산시,북구,011019,CGV 화명,7,756,0,9,2,0,0,상설,,가입,CJ올리브네트웍스(주),2013-07-01,영업,직영,부산광역시 북구 화명동 2275-1 번지 센추리 빌딩,1544-1122,http://www.cgv.co.kr
서울시,송파구,001241,메가박스송파파크하비오,9,"1,007",0,9,1,0,0,상설,,가입,메가박스(주),2016-12-23,영업,위탁,서울특별시 송파구 문정동 618 번지,02-1544-0070,http://www.megabox.co.kr/
대구시,달성군,012055,롯데시네마 대구현풍,6,734,0,6,0,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2019-06-12,영업,위탁,대구광역시 달성군 현풍면 중리 490 번지 4층 롯데시네마,,
전라남도,진도군,009056,진도아리랑 시네마,2,98,0,2,1,0,0,상설,,가입,(주)디트릭스,2017-07-20,영업,직영,,061-544-7790,
울산시,동구,014003,현대예술관시네마,5,"1,602",2,5,0,0,0,상설,,가입,현대중공업(주),2008-06-13,영업,직영,울산광역시 동구 서부동 110-1 번지,052-209-7812,http://
전라남도,목포시,009025,CGV 목포,7,"1,676",0,5,2,0,0,상설,,가입,CJ올리브네트웍스(주),2004-12-17,영업,직영,전라남도 목포시 상동 892 번지,1544-1122,http://www.cgv.co.kr/
전라남도,보성군,009066,보성 작은영화관,2,96,0,2,2,0,0,상설,,가입,(주)디트릭스,2019-04-05,영업,직영,전라남도 보성군 보성읍 원봉리 2-1 번지 (현충로44-12),061-852-7050,boseong.scinema.org
충청북도,옥천군,004041,옥천 향수시네마,2,95,0,2,1,0,0,상설,,가입,(주)디트릭스,2018-08-02,영업,직영,,,http://oc.scinema.org/
전라남도,화순군,009062,화순 시네마,2,124,0,2,1,0,0,상설,,가입,(주)디트릭스,2018-02-12,영업,직영,,061-373-7053,http://hwasun.scinema.org/
충청남도,청양군,005061,청양 시네마,2,98,0,2,1,0,0,상설,,가입,(주)디트릭스,2018-02-08,영업,직영,,041-942-7053,http://cheongyang.scinema.org/
전라남도,곡성군,009059,곡성 작은영화관,2,95,0,2,1,0,0,상설,,가입,(주)디트릭스,2017-12-22,영업,직영,,061-363-7053,http://gokseong.scinema.org/
전라남도,완도군,009057,완도 빙그레 시네마,2,98,0,2,1,0,0,상설,,가입,(주)디트릭스,2017-09-26,영업,직영,,061-553-7053,https://wando.scinema.org/
전라북도,순창군,008225,천재의 공간 영화산책,2,149,0,2,1,0,0,상설,,가입,(주)디트릭스,2015-11-26,영업,직영,전라북도 순창군 순창읍 471 번지 작은영화관,063-653-7057,http://sunchang.scinema.org/
전라남도,장흥군,009051,정남진시네마,2,99,0,2,1,0,0,상설,,가입,(주)디트릭스,2015-10-19,영업,직영,전라남도 장흥군 장흥읍 318-2 번지,061-862-7053,http://jangheung.scinema.org/
전라북도,진안군,008224,마이골작은영화관,2,98,0,2,1,0,0,상설,,가입,(주)디트릭스,2015-07-27,영업,위탁,전라북도 진안군 진안읍 143 번지 진안 마이골작은영화관,063-433-7050,http://jinan.scinema.org/
인천시,강화군,015050,강화작은영화관,1,87,0,1,1,0,0,상설,,가입,(주)디트릭스,2015-02-06,영업,위탁,인천광역시 강화군 강화읍 239 번지 강화문예회관 2층,032-934-7053,http://ganghwa.scinema.org/
전라북도,부안군,008050,마실영화관,2,99,0,2,1,0,0,상설,,가입,(주)디트릭스,2014-08-20,영업,위탁,전라북도 부안군 부안읍 455-51 번지 부안예술회관 1층 마실영화관,063-582-1228,http://masil.scinema.org/
전라북도,무주군,001221,무주 산골 영화관,2,98,0,2,1,0,0,상설,,가입,(주)디트릭스,2014-06-20,영업,위탁,전라북도 무주군 무주읍 1199-3 번지 예체문화회관 2층 산골영화관,063-322-7053,http://muju.scinema.org/
전라북도,임실군,008047,작은별영화관,2,94,0,2,1,0,0,상설,,가입,(주)디트릭스,,영업,직영,전라북도 임실군 임실읍 이도리 277 번지 임실군민회관 지하1층,063-644-7050,http://imsil.scinema.org/
전라북도,장수군,008043,한누리디지털시네마,2,90,0,2,1,0,0,상설,,가입,(주)디트릭스,2010-11-24,영업,직영,전라북도 장수군 장수읍 474 번지,063-352-7050,http://hannuri.scinema.org/
경상북도,칠곡군,006082,칠곡 호이영화관,2,94,0,2,1,0,0,상설,,가입,(주)디트릭스,2018-12-22,영업,직영,경상북도 칠곡군 석적읍 608 번지,054-977-7053,http://chilgok.scinema.org/
경상북도,울진군,006080,울진 작은영화관,1,87,0,1,1,0,0,상설,,가입,(주)디트릭스,2018-09-13,영업,직영,,,http://uljin.scinema.org/
경상남도,함안군,007081,함안군 작은영화관,2,98,0,2,1,0,0,상설,,가입,(주)디트릭스,2018-02-09,영업,직영,,061-363-2011,http://haman.scinema.org/
강원도,양구군,003210,양구 정중앙 시네마,2,201,0,2,0,0,0,상설,,가입,(주)디트릭스,2018-02-09,영업,직영,,033-482-7053,http://yanggu.scinema.org/
경상북도,영천시,006074,영천공설시장 별빛영화관,1,76,0,1,0,0,0,상설,,가입,(주)디트릭스,2017-10-12,영업,직영,경상북도 영천시 완산동 982--34 번지 영철공설시장 2층,054-338-7053,https://yc.scinema.org/
강원도,정선군,003207,아리아리 정선시네마,2,101,0,2,1,0,0,상설,,가입,(주)디트릭스,2017-05-19,영업,직영,강원도 정선군 정선읍 144-9 번지,033-563-5703,http://jeongseon.scinema.org/
강원도,철원군,003205,철원작은영화관 뚜루,3,231,0,3,2,0,0,상설,,가입,(주)디트릭스,2016-11-17,영업,직영,강원도 철원군 철원읍 988-2 번지,033-458-7053,https://cwg.scinema.org/
강원도,삼척시,003203,삼척 가람영화관,2,180,0,2,1,0,0,상설,,가입,(주)디트릭스,2016-09-08,영업,직영,강원도 삼척시 성남동 173-3 번지,033-575-7053,http://samcheok.scinema.org/
경상남도,합천군,007074,합천시네마,2,99,0,0,0,0,0,상설,,가입,(주)디트릭스,2016-07-15,영업,직영,경상남도 합천군 합천읍 512 번지 2층,055-932-7053,http://hc.scinema.org/
경상남도,남해군,007073,보물섬시네마,1,212,0,1,1,0,0,상설,,가입,(주)디트릭스,2016-03-07,영업,직영,경상남도 남해군 남해읍 760 번지,055-864-7053,http://namhae.scinema.org/
경상북도,고령군,006066,대가야시네마,2,97,0,2,1,0,0,상설,,가입,(주)디트릭스,2015-12-01,영업,위탁,경상북도 고령군 대가야읍 471-1 번지,054-954-7053,http://gr.scinema.org/
강원도,평창군,003201,HAPPY700 평창시네마,2,97,0,2,2,0,0,상설,,가입,(주)디트릭스,2015-12-22,영업,직영,강원도 평창군 용평면 374-2 번지 2층(용평복지회관),033-334-7053,http://happy700.scinema.org/
강원도,영월군,003200,영월시네마,2,146,0,2,1,0,0,상설,,가입,(주)디트릭스,2015-08-13,영업,위탁,강원도 영월군 영월읍 990-2 번지,033-375-7053,http://yw.scinema.org/
강원도,화천군,003199,화천 작은영화관,3,322,0,3,1,0,0,상설,,가입,(주)디트릭스,2014-12-20,영업,위탁,강원도 화천군 화천읍 1-5 번지 2층,033-441-7053,http://ihc.scinema.org/
강원도,홍천군,003197,홍천시네마,2,98,0,2,1,0,0,상설,,가입,(주)디트릭스,2014-04-08,영업,위탁,강원도 홍천군 홍천읍 134-11 번지 홍천군문화센터 1층,033-433-7053,http://hongcheon.scinema.org/
광주시,광산구,016035,메가박스 첨단,9,"1,157",0,9,2,0,0,상설,,가입,메가박스(주),2012-01-15,영업,위탁,광주시 광산구 쌍암동 688-4,1544-0070,http://www.megabox.co.kr/
경기도,포천시,002248,포천자동차극장,2,60,0,0,0,0,0,상설,,가입,,,영업,직영,경기도 포천시 소흘읍 41 번지,,
경기도,포천시,002154,광릉수목원자동차극장,1,90,0,0,0,0,0,상설,,가입,인터파크(주),2007-08-01,영업,직영,경기도 포천시 소흘읍 321-1 번지,031-543-1145,http://
강원도,정선군,003214,고한 시네마,2,113,0,2,1,0,0,상설,,가입,(주)디트릭스,2019-06-26,영업,직영,강원도 정선군 고한읍 63-54 번지,033-592-7053,http://gohan.scinema.org/
경상북도,상주시,006078,상주 삼백시네마,1,98,0,1,1,0,0,상설,,가입,(주)디트릭스,2018-09-14,영업,직영,,,http://sangju.scinema.org/
경상북도,영양군,006068,영양 작은영화관,1,99,0,1,0,0,0,상설,,가입,(주)디트릭스,2016-03-30,영업,직영,경상북도 영양군 영양읍 2-15 번지,054-683-7053,http://yyg.scinema.org/
강원도,양양군,003213,양양 작은영화관,2,94,0,2,1,0,0,상설,,가입,(주)디트릭스,2019-06-18,영업,직영,"강원도 양양군 양양읍 210-36 번지 3층, 4층",033-673-7050,http://yangyang.scinema.org/
경기도,김포시,002065,CGV 김포,5,500,0,5,2,0,0,상설,,가입,CJ올리브네트웍스(주),2013-09-18,영업,위탁,"경기도 김포시 사우동 928 번지 사우동, 제지층201호, 202호",1544-1122,http://www.megaline11.co.kr/
부산시,해운대구,011044,CGV 센텀시티,8,"2,062",0,8,4,1,0,상설,,가입,CJ올리브네트웍스(주),2009-03-03,영업,직영,부산광역시 해운대구 우동 1495 번지 신세계백화점 서관 7층,1544-1122,http://www.cgv.co.kr
서울시,강남구,001186,CGV 청담씨네시티,6,674,0,6,6,1,0,상설,,가입,CJ올리브네트웍스(주),2011-10-09,영업,직영,서울특별시 강남구 신사동 651-21 번지,1544-1122,http://www.cgv.co.kr
경기도,김포시,002041,CGV 김포한강,4,479,0,4,1,0,0,상설,,가입,CJ올리브네트웍스(주),2014-02-25,영업,위탁,경기도 김포시 걸포동 1574-3 번지,1544-1122,http://www.cgv.co.kr/
부산시,중구,011054,롯데시네마 광복,10,"2,369",0,10,4,1,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2014-08-28,영업,직영,부산광역시 중구 중앙동7가 20-1 번지 중앙동7가 롯데몰 광복마트,1544-8855,http://www.lottecinema.co.kr/
부산시,금정구,011057,롯데시네마 오투(부산대),7,"1,052",0,7,0,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2015-01-01,영업,직영,부산광역시 금정구 부곡동 298-2 번지,1544-8855,
부산시,해운대구,011038,롯데시네마 센텀시티(백화점),9,"1,712",0,9,5,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2007-12-07,영업,직영,부산광역시 해운대구 우동 1496 번지 센텀시티,1544-8855,http://www.lottecinema.co.kr/
충청북도,청주시,004025,롯데시네마 청주,8,"1,402",0,8,4,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2008-12-02,영업,직영,충청북도 청주시 상당구 북문로1가 90-1 번지 CU쇼핑몰 3층,1544-8855,http://www.lottecinema.co.kr/
인천시,부평구,015023,롯데시네마 부평,9,"1,523",0,9,4,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2006-03-01,영업,직영,인천광역시 부평구 부평동 152-1 번지,1544-8855,http://www.lottecinema.co.kr/
서울시,구로구,001217,롯데시네마 신도림,5,560,0,5,2,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2013-09-13,영업,직영,"서울특별시 구로구 신도림동 692 번지 디큐브시티 제타워동7층,8층일부",1544-8855,www.lottecinema.co.kr
서울시,광진구,001121,롯데시네마 건대입구,11,"2,181",0,11,8,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2007-01-26,영업,직영,서울특별시 광진구 자양동 227-7 번지 스타시티몰2층,1544-8855,http://www.lottecinema.co.kr/
서울시,송파구,001224,롯데시네마 월드타워,18,"4,537",0,18,11,1,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2014-10-15,영업,직영,"서울특별시 송파구 신천동 29 번지 신천동, 엔터동롯데시네마(5~11F)",1544-8855,http://www.lottecinema.co.kr/
경기도,파주시,002219,헤이리시네마,1,30,0,1,0,0,0,상설,,가입,인터파크(주),2016-06-22,영업,직영,경기도 파주시 탄현면 1652-26 번지,031-942-1031,www.hcine.kr
충청북도,청주시,004024,CGV 청주성안길,8,"1,239",0,8,3,0,0,상설,,가입,CJ올리브네트웍스(주),2008-07-24,영업,위탁,충청북도 청주시 상당구 북문로1가 170-1 번지,1544-1122,http://www.cgv.co.kr/
전라북도,익산시,008021,CGV 익산,9,"1,326",0,9,4,0,0,상설,,가입,CJ올리브네트웍스(주),2004-05-15,영업,위탁,전라북도 익산시 영등동 149-1 번지 4층,1544-1122,http://www.cgv.co.kr/
경상북도,포항시,006030,CGV 북포항,8,"1,007",0,8,2,0,0,상설,,가입,CJ올리브네트웍스(주),2009-07-29,영업,위탁,경상북도 포항시 북구 덕산동 235-4 번지,1544-1122,http://www.cgv.co.kr
경상북도,구미시,006043,CGV 구미,10,"1,483",0,10,4,0,0,상설,,가입,CJ올리브네트웍스(주),2006-12-18,영업,위탁,경상북도 구미시 원평동 68-1 번지,1544-1122,http://www.cgv.co.kr
인천시,부평구,015019,CGV 부평,10,"1,552",0,10,2,0,0,상설,,가입,CJ올리브네트웍스(주),2004-06-19,영업,위탁,인천광역시 부평구 청천동 386 번지 아이즈빌 3층 영화관사무실,1544-1122,http://www.cgv.co.kr/
광주시,북구,016020,메가박스 전대(광주),7,958,0,7,2,0,0,상설,,가입,메가박스(주),2007-07-01,영업,위탁,광주광역시 북구 중흥동 362-2 번지,1544-0070,http://www.megabox.co.kr/
서울시,성북구,001098,아리랑시네센터(서울),3,472,0,3,2,0,0,상설,,가입,맥스무비(주),2004-05-01,영업,직영,서울특별시 성북구 돈암동 538-59 번지,02-3291-5540,http://cine.arirang.go.kr/
강원도,원주시,003031,메가박스 원주,8,797,0,8,3,0,0,상설,,가입,메가박스(주),2007-11-15,영업,위탁,강원도 원주시 단계동 873 번지,1544-0070,http://www.megabox.co.kr/
서울시,서초구,001101,메가박스 강남,7,973,0,7,2,0,0,상설,,가입,메가박스(주),2011-08-05,영업,직영,서울특별시 서초구 서초동 1317-20 번지 아라타워 8층,1544-0070,http://www.megabox.co.kr/
경상남도,창원시 마산합포구,007084,롯데시네마 프리미엄 경남대,6,348,0,6,2,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2019-04-10,영업,위탁,경상남도 창원시 마산합포구 월남동5가 4-1 번지 롯데시네마 프리미엄 경남대,055-1544-8855,http://lottecinama.co.kr
광주시,동구,016047,CGV 광주금남로,9,955,0,0,0,0,0,상설,,가입,CJ올리브네트웍스(주),2019-04-26,영업,직영,광주광역시 동구 불로동 1-21 번지 2층,,
경기도,용인시,002232,CGV 용인,8,948,0,8,3,0,0,상설,,가입,CJ올리브네트웍스(주),2017-12-21,영업,위탁,경기도 용인시 처인구 김량장동 301-3 번지 5~8층,031-337-3421,www.cgv.co.kr
전라남도,나주시,009058,CGV 나주,6,665,0,6,1,0,0,상설,,가입,CJ올리브네트웍스(주),2017-09-28,영업,위탁,전라남도 나주시 빛가람동 203-3 번지 티씨씨타워 4층,,
서울시,마포구,001222,CGV 홍대,6,936,0,6,3,0,0,상설,,가입,CJ올리브네트웍스(주),2014-10-02,영업,직영,서울특별시 마포구 동교동 159-8 번지 동교동,1544-1122,http://www.cgv.co.kr/
경상북도,포항시,006047,CGV 포항,8,"1,518",0,7,4,0,0,상설,,가입,CJ올리브네트웍스(주),2007-08-30,영업,직영,경상북도 포항시 남구 상도동 582 번지 밸류플러스 7층,1544-1122,http://www.cgv.co.kr/
경기도,평택시,002176,CGV 평택,8,"1,371",0,8,5,0,0,상설,,가입,CJ올리브네트웍스(주),2009-04-24,영업,직영,"경기도 평택시 평택동 185-579 번지 (평택동, 평택민자역사 8층)",1544-1122,http://www.cgv.co.kr/
강원도,원주시,003046,CGV 원주,11,"2,170",0,10,3,0,0,상설,,가입,CJ올리브네트웍스(주),2012-09-06,영업,직영,강원도 원주시 단계동 877-1 번지,1544-1122,http://www.cgv.co.kr/
서울시,노원구,001203,CGV 중계,7,"1,179",0,7,3,0,0,상설,,가입,CJ올리브네트웍스(주),2013-04-25,영업,직영,서울특별시 노원구 중계동 509-2 번지,1544-1122,
울산시,북구,001269,CGV 울산진장,7,"1,066",0,7,3,0,0,상설,,가입,CJ올리브네트웍스(주),2018-11-30,영업,직영,울산광역시 북구 진장동 120-9 번지 2층 CGV 울산진장,,www.cgv.co.kr
경기도,부천시,002113,CGV 역곡,6,846,0,6,3,0,0,상설,,가입,CJ올리브네트웍스(주),2005-12-28,영업,직영,경기 부천시 소사구 괴안동 107~122 113-1 2역곡하이뷰 6층~8층,1544-1122,http://www.cgv.co.kr
세종시,연기군,017039,CGV 세종,7,"1,094",0,7,3,0,0,상설,,가입,CJ올리브네트웍스(주),2015-11-30,영업,직영,세종특별자치시 종촌동 580-2 번지,1544-1122,
경기도,부천시,002045,CGV 부천역,8,"1,204",0,8,1,0,0,상설,,가입,CJ올리브네트웍스(주),2014-06-05,영업,직영,경기도 부천시 원미구 심곡동 383-1 번지 심곡동 시네마존 6층~8층,1544-1122,
서울시,양천구,001036,CGV 목동,8,"1,372",0,8,4,0,0,상설,,가입,CJ올리브네트웍스(주),2002-08-29,영업,직영,서울특별시 양천구 목동 916 번지 현대백화점 지하2층,1544-1122,http://www.cgv.co.kr
서울시,강서구,001270,CGV 등촌,8,"1,217",0,0,0,0,0,상설,,가입,CJ올리브네트웍스(주),2019-01-30,영업,직영,서울특별시 강서구 등촌동 639-23 번지 브릭시티몰 3층 CGV 등촌,,
경기도,화성시,002185,CGV 동탄,8,"1,475",0,8,5,0,0,상설,,가입,CJ올리브네트웍스(주),2010-12-23,영업,직영,"경기도 화성시 반송동 96 번지 (반송동, 메타폴리스 A블럭 3층)",1544-1122,http://www.cgv.co.kr
부산시,동래구,011027,CGV 동래,9,"1,631",0,9,4,0,0,상설,,가입,CJ올리브네트웍스(주),2006-10-24,영업,직영,부산광역시 동래구 온천동 153-8 번지 SK허브스카이 6층,1544-1122,http://www.cgv.co.kr
대전시,서구,013030,CGV 대전탄방,6,970,0,6,3,0,0,상설,,가입,CJ올리브네트웍스(주),2016-05-26,영업,직영,대전광역시 서구 탄방동 744 번지 세이탄방점 7층,,
대구시,달서구,012050,CGV 대구월성,7,"1,247",0,6,3,0,0,상설,,가입,CJ올리브네트웍스(주),2016-11-29,영업,직영,대구광역시 달서구 월성동 1894 번지,053-609-3005,
광주시,서구,016041,CGV 광주상무,10,"1,610",0,10,1,0,0,상설,,가입,CJ올리브네트웍스(주),2014-06-05,영업,직영,광주광역시 서구 치평동 1218-1 번지 치평동 6층,1544-1122,
강원도,강릉시,001194,CGV 강릉,8,"1,396",0,9,3,0,0,상설,,가입,CJ올리브네트웍스(주),2012-06-14,영업,직영,강원도 강릉시 옥천동 189,1544-1122,http://www.cgv.co.kr/
서울시,강남구,001123,CGV 강남,6,874,0,6,5,0,0,상설,,가입,CJ올리브네트웍스(주),2007-02-08,영업,직영,서울특별시 강남구 역삼동 814-6 번지 스타플렉스 4층~11층,1544-1122,http://www.cgv.co.kr/
인천시,서구,015059,CGV 청라,7,"1,074",0,7,0,0,0,상설,,가입,CJ올리브네트웍스(주),2018-05-11,영업,위탁,인천광역시 서구 경서동 953-7 번지 3층 305호,032-721-5660,www.cgv.co.kr
제주도,제주시,010011,CGV 제주,8,894,0,8,3,0,0,상설,,가입,CJ올리브네트웍스(주),2006-03-30,영업,위탁,제주특별자치도 제주시 이도이동 1776-3 번지 302~306호,1544-1122,http://www.cgv.co.kr/
서울시,종로구,001127,CGV 대학로,8,968,0,8,3,0,0,상설,,가입,CJ올리브네트웍스(주),2007-07-20,영업,직영,서울특별시 종로구 명륜2가 41-9 번지 판타지움빌딩 1층,1544-1122,http://www.cgv.co.kr
